3626bp04,0.54
3626bp05,0.54
3626bp63,0.54
3633,0.8
3634,11.11
3639,1.77
3640,2.12
3641,0.73
3644,3.35
3647,0.16
3648,1.17
3649,3.76
3650a,1.08
3651,0.48
3659,1.25
3660,1.25
3660p01,1.25
3665,0.66
3666,1.06
367,55
3673,0.16
3675,1.54
3676,1.13
3678a,1.75
3679,0.3
3680,0.4
3684,2.83
3684ap22,2.83
3685,2.36
3688,1.32
3700,0.82
3701,1.46
3702,2.85
3703,5.87
3704,0.27
3705,0.59
3705b,0.45
3706,0.94
3707,1.18
3708,1.82
3709a,2.7
3709b,1.15
3710,0.71
3711,0.09
3713,0.14
3730,0.9
3731,0.69
3736,1.77
3737,1.49
3737b,1.4
3738,2.49
3739,10.64
374,40
3740,47.25
3741,0.2
3742,0.07
3743,0.79
3747a,1.65
3749,0.22
374p01,40
3754,10.24
3754p01,10.24
3755,4.99
3761,4.4
3762,3
3787,1.31
3788,1.41
3794,0.3
3795,1.74
3811,107
3811p01,97.5
3821,0.56
3822,0.56
3823,2.19
3829c01,0.6
3830,1
3831,0.75
3832,2.91
3833,0.3
3834,0.34
3838,0.51
3839,0.57
3840,0.3
3841,0.42
3844,0.64
3846,0.42
3846p47,0.42
3847,0.2
3848,0.5
3849,0.71
3852,0.31
3853,1.51
3854,0.33
3855,1.65
3856,0.62
3857,52.1
3861,2.13
3865,12.86
3867,26.25
3873,0.19
3894,2.2
3895,4.2
3896,0.57
3899,0.33
39,0.3
3933,2.93
3934,2.93
3935,1.64
3936,1.64
3937,0.48
3938,0.34
3939,3.32
3939p68,3.32
3940,1
3941,1.2
3942,1.38
3943b,3.46
3956,1.13
3957,0.42
3958,4.71
3959,0.3
3960,1.33
3961,4.57
3962,0.43
3963,1
4006,0.39
4019,0.7
4022,2.5
4023,0.55
4032,0.37
4033,1.85
4034,1.5
4035,1.42
4036,0.68
4070,0.36
4073,0.12
4079,1.13
4080,7.3
4081a,0.26
4082,9.1
4083,0.74
4084,2.38
4085,0.32
4088,2.03
4089,2
4092u,?
4093,23.3
4095,0.43
412,0.47
4143,0.2
4150,0.33
4150p01,0.33
4150p04,0.33
4150p07,0.33
4151,6.9
4161,1.94
4162,1.06
4166,2.42
4168,2.14
4169,1.31
4170,1.9
4171,0.41
4175,1.23
4176,3.9
4178,12.18
4181,3.25
4181p01,3
4181p02,3.25
4181p03,3.27
4181p04,3.25
4181p05,3.25
4181p06,3.25
4182,2.98
4182p01,3.25
4182p02,3.25
4182p03,3.25
4182p04,3.25
4182p05,3.25
4182p06,3.25
4183,1.08
4185,0.97
4186,230
4186p01,255
4187,24.26
4201,16.3
4202,11.5
4204,30.66
4207,3.21
4209,2.5
4209p01,2.74
4209p05,2.5
4208,1
4211,2.71
4212b,5.4
4212a,5.63
4213,1.88
4214,1.26
4215,2.78
4215ap02,2.31
4215ap03,2.3
4215ap04,2.3
4215ap05,2.29
4215ap06,2.29
4215ap07,2.31
4215ap24,2.29
4215ap66,2.8
4216,0.8
4217,5.38
4219,0.99
4218,1
4220,0.45
4221,0.28
4228,7.6
4229,2.42
424,0.09
425p01,100
4261,0.83
4262,0.9
4263,0.48
4265a,0.1
4265b,0.07
4265c,0.1
4273,0.21
4274,0.095
4275,0.43
4276,0.41
4282,4.5
4284,2.29
4285,1.73
4286,0.98
4287,0.94
4288,4.11
4289,1.1
2525,3
4315,0.85
4318,2.1
4319,0.56
4345,2.17
4346,0.8
4346p01,0.8
4346p68,0.8
4349,0.4
4360,1.02
44,0.25
4442,1.13
4444,5.9
4444p01,5.9
4444p02,5.9
4444p03,5.9
4444p04,5.9
4444p05,5.9
4445,4.04
4447,2.21
4448,2.2
445,2.3
4452,5.76
2780,0.16
446,2.3
4460,1.76
4461,4.14
4474,5.35
4475,4.27
4476b,2.22
4477,1.61
4478p01,101
4479,0.76
4485,0.37
4488,1.18
4489,1.34
4490,0.87
4491a,1.53
4491b,1.57
4495,0.37
2484c01,1.5
4266,5.29
30072,61
32249,0.98
32526,1.77
3005ptE,0.46
6078,1.6
6246c01,3.5
2903,12.34
30094,2.15
30258,0.48
3942a,1.37
3942c,1.32
7049b,3.62
4485pb01,0.37
2446px2,0.52
30214,1.27
2446px6,0.52
970c00,1.18
30464,1.51
30478,7.2
Tricera02,21.7
30272,17.6
6574,1.05
6261px1,217
775,0.46
30176,0.44
4719c01,2.42
4449,0.46
30401px1,66.8
6055,7.67
6571,0.79
2649,0.5
2435,3
962,0.7
33215,18.6
30332,1.83
973p42,0.82
2648,2.98
30217,3
2741,2.75
32186,0.82
6549,1.8
67c01,18.1
2909,1.1
33054,0.35
6162,30.27
6572,1.25
32175,0.88
2623,7.15
2622,12
2846,18.42
2847,32.84
3900,0.25
2488,0.49
2587,0.77
6065,1.86
71015,0.95
30399,31.5
553,0.83
32083,5.91
30257,6.6
30148,1.1
30104,0.71
30162,0.19
33207pb01,3.36
33061,0.5
33183,0.16
22667,0.11
4342,0.94
33048c01,2.97
33320,0.33
6201,11.96
33230,51.25
70501c01,0.36
4237,7
4238,5
33008,3.5
x663,2.15
30102,3.93
30073,6.5
30074,6.5
2527,1.88
518,2.96
